2015-01-01	4	0	晴              	西北风          	3-4级           
2015-01-02	8	-1	晴              	西北风~西风     	小于3级         
2015-01-03	12	2	多云转晴        	东北风~南风     	小于3级         
2015-01-04	16	4	晴              	南风            	小于3级         
2015-01-05	19	9	晴转多云        	东南风~西南风   	小于3级         
2015-01-06	15	5	小雨            	西北风~北风     	小于3级~3-4级   
2015-01-07	7	3	小雨转多云      	西北风          	小于3级         
2015-01-08	8	2	晴              	西北风          	小于3级         
2015-01-09	11	2	晴              	西北风          	小于3级         
2015-01-10	13	4	晴转多云        	西北风          	小于3级         
2015-01-11	14	4	晴              	西风~微风       	小于3级         
2015-01-12	9	5	晴转多云        	东北风          	小于3级         
2015-01-13	10	6	阴转小雨        	东北风          	小于3级         
2015-01-14	10	7	中雨转小雨      	东北风~微风     	小于3级         
2015-01-15	11	6	阴转多云        	微风            	小于3级         
2015-01-16	11	4	多云            	西北风          	小于3级         
2015-01-17	7	4	多云            	微风~东北风     	小于3级         
2015-01-18	10	3	多云            	东北风~西风     	小于3级         
2015-01-19	10	3	多云转晴        	西北风          	小于3级         
2015-01-20	10	4	多云转阴        	东北风~东南风   	小于3级         
2015-01-21	14	7	小雨转多云      	东南风~西北风   	小于3级         
2015-01-22	9	3	阴              	西北风          	3-4级           
2015-01-23	10	2	多云转晴        	西北风~东南风   	小于3级         
2015-01-24	14	5	晴转多云        	东南风          	小于3级         
2015-01-25	17	11	多云转阴        	东南风~西风     	小于3级         
2015-01-26	12	8	小雨转阴        	西北风~微风     	小于3级         
2015-01-27	7	3	小雨            	微风            	小于3级         
2015-01-28	6	3	雨夹雪          	北风~东北风     	4-5级~3-4级     
2015-01-29	6	3	小雨            	东北风          	小于3级         
2015-01-30	6	2	小雨转阴        	微风~北风       	小于3级~3-4级   
2015-01-31	6	2	阴转多云        	微风            	小于3级         
2015-02-01	7	3	阴转小雨        	微风~东北风     	小于3级         
2015-02-02	8	4	小雨转阴        	东北风~东风     	小于3级         
2015-02-03	8	4	小雨转阴        	东北风          	小于3级         
2015-02-04	8	4	阴转多云        	西北风          	小于3级~3-4级   
2015-02-05	6	2	多云转晴        	西北风          	小于3级         
2015-02-06	8	1	晴转多云        	西北风~西南风   	小于3级         
2015-02-07	11	2	多云            	西南风~西风     	小于3级         
2015-02-08	7	2	阴转多云        	北风            	3-4级           
2015-02-09	5	-1	晴              	微风            	小于3级         
2015-02-10	5	-1	晴              	微风            	小于3级         
2015-02-11	15	4	晴转多云        	南风~西风       	小于3级~3-4级   
2015-02-12	12	5	晴转多云        	西北风~微风     	小于3级         
2015-02-13	12	7	晴转多云        	东南风          	小于3级         
2015-02-14	17	7	多云            	东南风          	小于3级         
2015-02-15	17	12	小雨            	南风            	小于3级         
2015-02-16	17	11	阴转多云        	西风~西北风     	小于3级         
2015-02-17	14	6	多云转晴        	西北风          	小于3级         
2015-02-18	12	4	晴              	东北风~微风     	小于3级         
2015-02-19	11	4	晴              	微风~东北风     	小于3级         
2015-02-20	11	5	多云转小雨      	东南风          	小于3级~3-4级   
2015-02-21	13	10	中雨转小雨      	东南风~西北风   	小于3级         
2015-02-22	12	7	阴转多云        	西北风~东北风   	小于3级         
2015-02-23	10	6	小雨            	东北风          	小于3级         
2015-02-24	11	6	小雨转阴        	东风            	小于3级         
2015-02-25	10	7	小雨            	东南风~东风     	小于3级         
2015-02-26	10	6	小雨转阴        	东风~东北风     	小于3级         
2015-02-27	7	4	小雨转中雨      	东北风          	小于3级~3-4级   
2015-02-28	7	4	中雨转大雨      	东北风          	3-4级           
2015-03-01	9	4	阴转多云        	北风~西北风     	3-4级~小于3级   
2015-03-02	12	3	多云转晴        	西北风~东南风   	小于3级         
2015-03-03	14	7	小雨转阴        	东南风~西北风   	小于3级~3-4级   
2015-03-04	7	3	多云转阴        	北风~东北风     	3-4级~小于3级   
2015-03-05	6	3	雨夹雪          	东北风          	小于3级         
2015-03-06	8	4	小雨转阴        	东北风          	小于3级         
2015-03-07	11	4	阴转多云        	东北风          	小于3级         
2015-03-08	12	7	阴转小雨        	东风~东南风     	小于3级         
2015-03-09	10	5	小雨转阴        	西风~北风       	小于3级~3-4级   
2015-03-10	7	2	多云            	北风~微风       	3-4级~小于3级   
2015-03-11	11	3	多云            	微风~东风       	小于3级         
2015-03-12	16	5	多云转晴        	南风            	小于3级         
2015-03-13	20	7	晴              	南风            	小于3级         
2015-03-14	16	10	多云转小雨      	南风~东风       	小于3级         
2015-03-15	14	10	小雨            	东风            	小于3级         
2015-03-16	15	10	小雨转阴        	东风~东南风     	小于3级         
2015-03-17	19	12	阴转小雨        	东南风          	小于3级         
2015-03-18	24	15	中雨转小雨      	南风            	小于3级         
2015-03-19	16	11	中雨转多云      	西北风~微风     	小于3级         
2015-03-20	14	10	小雨            	东北风          	小于3级         
2015-03-21	20	10	小雨转多云      	东北风~西北风   	小于3级         
2015-03-22	17	10	晴转多云        	西北风~东北风   	小于3级         
2015-03-23	16	10	多云            	东风            	小于3级         
2015-03-24	15	9	多云            	东风            	小于3级         
2015-03-25	15	9	多云转晴        	东风            	小于3级         
2015-03-26	17	10	多云            	东风            	小于3级         
2015-03-27	14	11	小雨            	东风~东北风     	小于3级         
2015-03-28	20	9	阴转多云        	东北风~南风     	小于3级         
2015-03-29	24	11	多云            	南风            	小于3级         
2015-03-30	17	14	小雨            	东南风          	小于3级~3-4级   
2015-03-31	26	15	阴转多云        	东南风~南风     	3-4级~小于3级   
2015-04-01	24	17	多云转阴        	东南风~东风     	小于3级         
2015-04-02	30	17	多云            	南风            	小于3级~3-4级   
2015-04-03	21	15	小雨            	西北风~东北风   	小于3级         
2015-04-04	22	13	小雨转阴        	东风~东南风     	小于3级         
